18	36	34	333
18	36	34	300
18	36	34	300
18	36	34	268
18	36	34	268
18	36	34	231
18	36	34	231
18	36	34	195
18	36	34	195
18	36	34	169
18	36	34	169
18	36	34	169
18	36	34	160
18	36	34	160
18	36	34	168
18	36	34	168
18	36	34	182
18	36	34	182
18	36	34	196
18	36	34	204
18	36	34	204
18	36	34	207
18	36	34	207
18	36	34	206
18	36	34	206
18	36	34	202
18	36	34	202
18	36	34	195
18	36	34	195
18	36	34	195
18	36	34	186
18	36	34	186
18	36	34	179
18	36	34	179
18	36	34	178
18	36	34	178
18	36	34	178
18	36	34	178
18	36	34	179
18	36	34	179
18	36	34	185
18	36	34	185
18	36	34	188
18	36	34	188
18	36	34	193
18	36	34	193
18	36	34	196
18	36	34	196
18	36	34	196
18	36	34	196
18	36	34	195
18	36	34	195
18	36	34	187
18	36	34	187
18	36	34	189
18	36	34	189
18	36	34	193
18	36	34	193
18	36	34	215
18	36	34	215
18	36	34	267
18	36	34	267
18	36	34	350
18	36	34	350
18	36	34	438
18	36	34	438
18	36	34	507
18	36	34	507
18	36	34	512
18	36	34	512
18	36	34	512
18	36	34	512
18	36	34	471
18	36	34	471
18	36	34	416
18	36	34	416
18	36	34	364
18	36	34	364
18	36	34	328
18	36	34	328
18	36	34	295
18	36	34	295
18	36	34	260
18	36	34	260
18	36	34	222
18	36	34	222
18	36	34	189
18	36	34	189
18	36	34	166
18	36	34	166
18	36	34	159
18	36	34	159
18	36	34	166
18	36	34	166
18	36	34	182
18	36	34	182
18	36	34	204
18	36	34	204
18	36	34	214
18	36	34	214
18	36	35	217
18	36	35	217
18	36	35	212
18	36	35	212
18	36	35	204
18	36	35	204
18	36	35	196
18	36	35	196
18	36	35	188
18	36	35	188
18	36	35	188
18	36	35	185
18	36	35	185
18	36	35	182
18	36	35	182
18	36	35	184
18	36	35	190
18	36	35	190
18	36	35	201
18	36	35	201
18	36	35	205
18	36	35	205
18	36	35	207
18	36	35	207
18	36	35	209
18	36	35	209
18	36	35	209
18	36	35	209
18	36	35	209
18	36	35	207
18	36	35	207
18	36	35	207
18	36	35	207
18	36	35	206
18	36	35	206
18	36	35	211
18	36	35	211
18	36	35	234
18	36	35	234
18	36	35	298
18	36	35	298
18	36	35	389
18	36	35	389
18	36	35	477
18	36	35	477
18	36	35	512
18	36	35	512
18	36	35	512
18	36	35	512
18	36	35	512
18	36	35	512
18	36	35	469
18	36	35	469
18	36	35	413
18	36	35	413
18	36	35	361
18	36	35	361
18	36	35	322
18	36	35	322
18	36	35	289
18	36	35	289
18	36	35	254
18	36	35	254
18	36	35	217
18	36	35	217
18	36	35	186
18	36	35	186
18	36	35	171
18	36	35	171
18	36	35	171
18	36	35	171
18	36	35	187
18	36	35	187
18	36	35	203
18	36	35	203
18	36	35	218
18	36	35	218
18	36	35	221
18	36	35	221
18	36	35	217
18	36	35	217
18	36	35	210
18	36	35	210
18	36	35	202
18	36	35	202
18	36	35	192
18	36	35	192
18	36	35	187
18	36	35	187
18	36	35	183
18	36	35	183
18	36	35	183
18	36	35	183
18	36	35	186
18	36	35	186
18	36	35	192
18	36	35	192
18	36	35	193
18	36	35	193
18	36	35	196
18	36	36	196
18	36	36	198
18	36	36	198
18	36	36	199
18	36	36	199
18	36	36	199
18	36	36	196
18	36	36	195
18	36	36	195
18	36	36	195
18	36	36	195
18	36	36	201
18	36	36	201
18	36	36	231
18	36	36	231
18	36	36	295
18	36	36	295
18	36	36	388
18	36	36	388
18	36	36	388
18	36	36	481
18	36	36	512
18	36	36	512
18	36	36	512
18	36	36	512
18	36	36	512
18	36	36	508
18	36	36	508
